Id,SalePrice
2658,196441.15988012677
2718,169310.3274463586
2414,206935.5393245236
1989,122413.83190924785
625,175509.56374917924
333,74453.16874569216
1327,87372.49428951494
858,149824.0382150969
95,179805.08644319966
1568,160870.69318145633
2482,159810.85751995235
1364,117575.64108657715
2584,147815.98644065583
818,234954.19251843842
2673,153403.37803457593
2089,111456.5158193152
1297,184895.76576237328
790,103227.9087809902
2616,175596.31812922267
720,227549.27221698713
222,151826.5594020042
557,118290.69939913168
1148,192407.87189210905
2766,155272.03209241907
534,191454.05608774748
1452,113519.51796646218
630,118073.52828901193
2648,165366.53002350204
125,167952.93111516425
1904,68059.34881362287
1670,99576.90421370711
756,99495.02142634055
717,264176.5803935784
1032,152026.55666077827
852,228613.69816625008
1731,164245.36065302577
2639,159108.39810429089
2071,110204.8284994176
1267,141429.41922094286
1851,194932.80802363512
567,167944.25232556876
2439,216670.32141239638
1898,157683.92181220133
647,154242.86174358134
2256,239213.76483110804
979,85356.11414169492
1444,224353.37123573938
2485,96555.1904558258
157,96565.44554688783
88,99956.19088241745
2003,97308.06265134602
186,225613.47637669556
1425,270846.6760329933
2695,131965.04849056734
738,109074.60309862548
395,149958.57648487043
1353,151878.5050652668
1878,132589.20900068537
390,155425.0475511083
1456,231410.33901065827
1103,296469.56579077005
1387,113575.72786321556
2070,153195.61863002574
1199,153932.33199672756
2479,175218.63376835335
501,314495.3793887748
2362,59635.73984250316
1718,210032.8762753645
2188,70095.1025211158
1483,161804.3973003621
2557,94601.83993264796
437,307547.11933095247
2224,209691.86932921625
1628,187516.59850318672
397,114659.81206790476
587,196110.44822859694
2182,482214.6678442459
971,128047.1342344119
2611,124238.84777799284
1887,83045.08326862214
2399,352401.03619404347
2148,212742.48101780697
304,131688.38174683388
1997,146376.6292308091
2817,107676.93624544273
1431,181477.3841703275
427,364277.0178326145
263,119414.26005683138
598,176918.215661686
2895,230463.64802524738
687,143040.67316441276
1822,126980.47530341579
2191,97151.04632977773
179,153358.53859229878
1009,258953.2722982898
2010,102253.42361157294
1991,151950.86271896661
1411,177728.7444026994
1721,239765.60137147165
1144,186435.04462466386
593,204738.47228416678
575,321424.98340435524
1249,182765.59983938135
1604,91382.9337516805
1064,399349.89237249625
1923,153165.53809728965
1988,100874.97625762384
2325,166901.01297474292
114,184126.65968750903
2700,175855.23763439668
217,139484.6149611742
343,174751.73661771315
386,231413.57003315852
2005,103288.03176197092
2908,89950.62013375084
1814,218154.64183487103
2446,392997.7421157191
208,180667.427209828
1679,113178.8828544775
822,344742.85747851443
6,178957.4468042795
1781,392130.1520559242
2397,302792.24581406347
2340,312607.47375981114
1618,142946.6787573348
2843,148526.1889150997
1061,342186.47028208955
2786,102577.6120984505
1935,126019.57532291171
1341,117460.41346868155
521,285472.47371744865
2136,136178.67967126588
996,176769.3047159324
227,144286.26889107953
135,176591.84646707957
1167,136920.30723579583
294,223623.2068154083
1776,196763.877034355
540,184743.16569610214
1717,210032.8762753645
2303,88765.8912114428
116,185051.35881827906
127,131311.6487580048
1371,122935.75881674649
1014,169959.02786646158
1507,83904.55521261854
702,152914.92334734777
750,157312.72126700103
